Name,English name,Episodes,Aired,Genres,Score
Wall,UNKNOWN,1,1987,Avant Garde,4.95
Akuma no Kairozu,Devil's Circuit,1,1988,Avant Garde,4.64
Miira no Yume,The Mummy's Dream,1,1989,Avant Garde,4.88
Venus,UNKNOWN,1,1990,Avant Garde,4.65
One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,"One Piece: Episode of Sabo - Bond of Three Brothers, A Miraculous Reunion and an Inherited Will",1,"Aug 22, 2015","Action, Adventure, Fantasy",7.71
"Tokyo Ghoul: ""Pinto""",Tokyo Ghoul: Pinto,1,"Dec 25, 2015","Action, Fantasy, Horror",7.2
Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi,UNKNOWN,6,"Feb 23, 2011 to Mar 30, 2011",Comedy,6.94
Tao Hua Yuan Ji,The Legend of Shangri-La,1,2006,Fantasy,5.74
Robo to Shoujo (Kari): Oshirase Gekijou (Kari),UNKNOWN,5,"Jul 22, 2011 to Sep 5, 2011","Comedy, Sci-Fi",5.07
Balloon,UNKNOWN,1,2013,Avant Garde,4.92
Ishikeri,Kicking Rocks,1,2013,Comedy,5.44
Comet Lucifer,Comet Lucifer,12,"Oct 4, 2015 to Dec 20, 2015","Action, Adventure, Fantasy",5.84
12-sai. 2nd Season,UNKNOWN,4,"Jul 3, 2015 to Dec 1, 2015",Romance,6.27
Shounen to Sakura,The Cherry Tree,1,Jul 1983,Drama,5.54
Drifters,Drifters,12,"Oct 7, 2016 to Dec 23, 2016","Action, Adventure, Comedy, Fantasy",7.9
K: Missing Kings - Manner Movie,UNKNOWN,1,"Jul 12, 2014",Comedy,6.48
Xue Haizi,UNKNOWN,1,Dec 1980,Fantasy,5.48
Osiris no Tenbin,UNKNOWN,10,"Aug 1, 2015 to Sep 23, 2015","Drama, Supernatural, Suspense",5.72
Tonkatsu DJ Agetarou,UNKNOWN,12,"Apr 10, 2016 to Jun 26, 2016",Comedy,7.13
Rudolf to Ippaiattena,Rudolf the Black Cat,1,"Aug 6, 2016",Adventure,6.51
Shingeki! Kyojin Chuugakkou,Attack on Titan: Junior High,12,"Oct 4, 2015 to Dec 20, 2015",Comedy,7.2
Flying Witch,Flying Witch,12,"Apr 10, 2016 to Jun 26, 2016","Slice of Life, Supernatural",7.51
Kataribe Shoujo Honoka,UNKNOWN,1,"Jul 28, 2015","Slice of Life, Supernatural",5.11
Owari no Seraph: Kyuuketsuki Shahar,Seraph of the End: Vampire Shahar,1,"May 2, 2016","Action, Drama, Supernatural",7.18
Aru Hi Inu no Kuni kara Tegami ga Kite,UNKNOWN,1,"Sep 3, 2015",Drama,6.53
Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,Fate/stay night [Unlimited Blade Works] Season 2: Sunny Day,1,"Oct 7, 2015","Action, Fantasy, Supernatural",7.46
Soul Worker: Your Destiny Awaits,UNKNOWN,5,"Mar 17, 2016 to Apr 5, 2016","Action, Fantasy, Sci-Fi",5.65
Joker Game,Joker Game,12,"Apr 5, 2016 to Jun 21, 2016",Drama,7.03
Mini Van 2nd Season,UNKNOWN,26,"Oct 3, 2015 to Mar 26, 2016","Comedy, Slice of Life",6.01
Nijiiro Days,Rainbow Days,24,"Jan 10, 2016 to Jun 26, 2016","Comedy, Romance",7.27
Binan Koukou Chikyuu Bouei-bu LOVE! LOVE!,Cute High Earth Defense Club LOVE! LOVE!,12,"Jul 8, 2016 to Sep 23, 2016",Comedy,7.02
KanColle Movie,Fleet Girls Collection KanColle Movie Sequence,1,"Nov 26, 2016","Action, Drama, Sci-Fi",7.5
Minami Kamakura Koukou Joshi Jitensha-bu,Minami Kamakura High School Girls Cycling Club,12,"Jan 7, 2017 to Mar 25, 2017",Sports,6.33
"Urawa no Usagi-chan: Natsu no Hi to, Bushitsu to, Tomodachi to",UNKNOWN,1,"Oct 16, 2015",Comedy,5.38
Zinba,Zinba,52,"Aug 24, 2013 to Oct 13, 2013","Action, Adventure, Comedy",6.5
Terra Formars: Revenge,UNKNOWN,13,"Apr 2, 2016 to Jun 25, 2016","Action, Horror, Sci-Fi",6.65
Ginga Eiyuu Densetsu: Die Neue These - Kaikou,Legend of the Galactic Heroes: Die Neue These,12,"Apr 3, 2018 to Jun 26, 2018","Drama, Sci-Fi",7.76
Wagamama High Spec,Wagamama High Spec,12,"Apr 12, 2016 to Jun 28, 2016",Comedy,5.38
Teekyuu 6,Teekyu 6,12,"Oct 6, 2015 to Dec 22, 2015",Comedy,6.54
Yoku Wakaru Mahouka! - Saiseitte Nani?,UNKNOWN,1,"Feb 25, 2015",Comedy,6.39
Sol,UNKNOWN,1,"Jan 12, 2012",Avant Garde,4.62
Norn9: Norn+Nonet,Norn9,12,"Jan 7, 2016 to Mar 31, 2016","Adventure, Fantasy, Romance, Sci-Fi",6.55
Gundam: G no Reconguista - From the Past to the Future,UNKNOWN,1,"Mar 21, 2015","Action, Sci-Fi",5.85
Code:Realize - Sousei no Himegimi,Code:Realize ~Guardian of Rebirth~,12,"Oct 7, 2017 to Dec 23, 2017","Fantasy, Romance",6.66
Grendizer Giga,UNKNOWN,1,"Apr 12, 2015",Action,5.44
MILPOM★,UNKNOWN,6,"Sep 5, 2015 to Sep 29, 2017",Comedy,5.04
Wake up!! Tamala,UNKNOWN,1,"Oct 11, 2010",Fantasy,5.19
Bungou Stray Dogs,Bungo Stray Dogs,12,"Apr 7, 2016 to Jun 23, 2016","Action, Mystery, Supernatural",7.82
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",Snow White with the Red Hair OVA,1,"Jan 5, 2016","Drama, Fantasy, Romance",7.71
Aikatsu Stars! Movie,UNKNOWN,1,"Aug 13, 2016",Slice of Life,7.37
Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes,Tantei Opera Milky Holmes the Movie: Milky Holmes' Counterattack,1,"Feb 27, 2016","Comedy, Mystery",7.13
One Piece Film: Gold,UNKNOWN,1,"Jul 23, 2016","Action, Adventure, Fantasy",7.9
Lord of Vermilion III Special Anime Movie,UNKNOWN,1,"Aug 22, 2015","Action, Adventure, Fantasy",5.56
Mini-Chara Macross,UNKNOWN,1,"Aug 25, 2002",Comedy,5.24
Pan de Peace!,Pan de Peace!,13,"Apr 3, 2016 to Jun 26, 2016","Comedy, Gourmet, Slice of Life",5.64
Huyao Xiao Hongniang,Fox Spirit Matchmaker,13,"Jun 26, 2015 to Nov 27, 2015","Comedy, Romance, Supernatural",7.16
High School Fleet,High School Fleet,12,"Apr 10, 2016 to Jun 26, 2016",Action,7.3
Master Blaster,UNKNOWN,1,"Sep 30, 2014",Avant Garde,4.27
Go! Samurai,UNKNOWN,1,"Aug 7, 2015",Action,5.53
Kappa no Ude,UNKNOWN,1,2009,Fantasy,5.34
Ari Ningen Monogatari,Future Man,1,2008,Fantasy,4.62
Love & Gift,UNKNOWN,2,"Oct 30, 2014 to Nov 10, 2015",Slice of Life,4.81
Aoki Seimei Hoken,UNKNOWN,1,2006,Comedy,4.69
Ohayou Ninja-tai Gatchaman,UNKNOWN,475,"Apr 18, 2011 to Mar 29, 2013",Comedy,5.52
Anitore! EX,Anime de Training! Ex,12,"Oct 13, 2015 to Dec 29, 2015","Comedy, Sports",5.4
Ushinawareta Mirai wo Motomete: Ushinawareta Natsuyasumi wo Motomete,UNKNOWN,1,Aug 2015,Romance,6.72
Classroom☆Crisis: Tabi no Haji wa Uwanuri,UNKNOWN,1,"Dec 23, 2015",Sci-Fi,6.38
Larva,UNKNOWN,104,"Mar 26, 2011 to Sep 24, 2011",Comedy,5.89
Manaria Friends,Mysteria Friends,10,"Jan 21, 2019 to Mar 25, 2019","Fantasy, Slice of Life",6.66
Kyoufu! Zombie Neko,UNKNOWN,52,"Oct 2, 2015 to Sep 30, 2016",Comedy,5.7
Sekkou Boys,Sekko Boys,12,"Jan 8, 2016 to Mar 25, 2016",Comedy,6.25
Peeping Life TV: Season 1??,UNKNOWN,12,"Oct 4, 2015 to Dec 20, 2015","Comedy, Slice of Life",5.59
Yurumates 3D Plus: Natsuyasumi Maison du Wish Report,UNKNOWN,1,"Aug 30, 2012","Comedy, Slice of Life",6.04
Durarara!!x2 Ten: Onoroke Chakapoko,Durarara!!x2 Ten Episode 13.5,1,"Jan 27, 2016","Action, Mystery, Supernatural",7.53
Charlotte: Tsuyoimono-tachi,Charlotte: The Strong Ones,1,"Mar 30, 2016",Drama,7.49
Prince of Stride: Alternative,Prince of Stride: Alternative,12,"Jan 5, 2016 to Mar 22, 2016",Sports,6.9
Miss Monochrome The Animation 3,UNKNOWN,13,"Oct 2, 2015 to Dec 25, 2015","Comedy, Slice of Life",6.52
Gangsta. Recap,UNKNOWN,1,"Sep 6, 2015","Action, Drama",6.45
Sansha Sanyou,"Three Leaves, Three Colors",12,"Apr 11, 2016 to Jun 27, 2016","Comedy, Slice of Life",7.1
Ketsuekigata-kun! 3,UNKNOWN,12,"Oct 13, 2015 to Dec 29, 2015",Comedy,6.25
Brave Beats,Brave Beats,22,"Oct 11, 2015 to Mar 27, 2016",Adventure,6.4
JK Meshi!,JK-MESHI!,26,"Oct 6, 2015 to Mar 29, 2016","Comedy, Gourmet",4.58
Ajin,Ajin: Demi-Human,13,"Jan 16, 2016 to Apr 9, 2016","Action, Horror, Mystery, Supernatural",7.4
Tsuritama: Harikitte Contest,UNKNOWN,1,"Nov 21, 2012","Comedy, Sci-Fi, Slice of Life, Sports",5.89
Mimizu Monogatari,Worm Story,1,1989,Avant Garde,4.84
Haruko no Bouken,Haruko Adventure,1,1990,Avant Garde,5.11
Henkei Sakuhin Dai 1-ban,Metamorphose Works No.1,1,1984,Avant Garde,4.86
Henkei Sakuhin Dai 2-ban,Metamorphose Works No.2,1,1984,Avant Garde,5.24
Mochibei,UNKNOWN,1,2005,Avant Garde,2.99
Kojin Toshi,Personal City,1,1990,Avant Garde,4.9
All Out!!,All Out!!,25,"Oct 7, 2016 to Mar 31, 2017",Sports,7.05
Pokemon XY&Z,Pokémon the Series: XYZ,47,"Oct 29, 2015 to Oct 27, 2016","Action, Adventure, Comedy, Fantasy",7.72
Rokka no Yuusha Picture Drama,UNKNOWN,3,"Sep 16, 2015 to Nov 18, 2015","Action, Adventure, Fantasy, Mystery",6.41
Luger Code 1951,UNKNOWN,1,"Oct 15, 2016","Action, Fantasy",6.42
Kana Kana Kazoku: Rika in Wonderland,UNKNOWN,1,"Nov 12, 2014",Comedy,5.12
Teekyuu 4 Specials,Teekyu 4 Specials,2,"Aug 28, 2015","Comedy, Sports",6.31
Kyoukai no Rinne 2nd Season,RIN-NE Season 2,25,"Apr 9, 2016 to Sep 24, 2016","Comedy, Supernatural",7.15
Kanojo ga Kanji wo Suki na Riyuu.,UNKNOWN,2,"Sep 14, 2015 to Oct 13, 2015",Slice of Life,5.39
Ooya-san wa Shishunki!,Landlord is in Puberty!,12,"Jan 10, 2016 to Mar 27, 2016","Comedy, Slice of Life",6.53
Granblue Fantasy The Animation,Granblue Fantasy: The Animation,13,"Apr 2, 2017 to Jun 25, 2017","Adventure, Fantasy",6.63
"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!",Ace Attorney,24,"Apr 2, 2016 to Sep 24, 2016","Comedy, Drama, Mystery",6.5
Monster Hunter Stories: Ride On,Monster Hunter Stories: Ride On,75,"Oct 2, 2016 to Apr 1, 2018",Fantasy,6.24
Sushi Police,UNKNOWN,13,"Jan 7, 2016 to Mar 31, 2016","Comedy, Gourmet, Mystery",4.63
Kokuhaku,UNKNOWN,1,"Aug 27, 2015",Horror,2.3
Dagashi Kashi,Dagashi Kashi,12,"Jan 8, 2016 to Apr 1, 2016","Comedy, Gourmet",6.61
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",GATE Part 2,12,"Jan 9, 2016 to Mar 26, 2016","Action, Adventure, Fantasy",7.72
Deniroo's Circus,Deniroo's Circus,1,2004,Comedy,4.69
Persona 5 the Animation: The Day Breakers,Persona 5 the Animation -THE DAY BREAKERS-,1,"Sep 3, 2016","Action, Fantasy, Supernatural",7.06
3-gatsu no Lion,March Comes In Like a Lion,22,"Oct 8, 2016 to Mar 18, 2017","Drama, Slice of Life",8.38
Ponkotsuland Saga,UNKNOWN,3,"Oct 24, 2015 to Oct 1, 2019",Comedy,4.49
Kuroko no Basket Movie 4: Last Game,Kuroko's Basketball the Movie: Last Game,1,"Mar 18, 2017",Sports,8.08
Hibike! Euphonium: Kakedasu Monaka,"Sound! Euphonium Episode 14 – Ready, Set, Monaka",1,"Dec 16, 2015",Drama,7.47
Teekyuu 5 Specials,Teekyu 5 Specials,2,"Nov 27, 2015","Comedy, Sports",6.13
Takamiya Nasuno desu! Teekyuu Spin-off Special,UNKNOWN,1,"Aug 28, 2015",Comedy,5.81
Kaitou Joker 3rd Season,JOKER 3rd Season,13,"Apr 4, 2016 to Jun 27, 2016","Adventure, Comedy, Mystery",7.16
Larva 2nd Season,UNKNOWN,52,"Jan 5, 2013 to Sep 21, 2013",Comedy,6.14
Larva 3rd Season,Larva 3,104,"Aug 4, 2014 to Dec 7, 2015",Comedy,6.08
Haikyuu!! Quest Picture Drama,UNKNOWN,3,"Sep 25, 2014","Comedy, Fantasy",6.67
Persona 2: Another Self,UNKNOWN,1,"Jun 29, 2000","Action, Fantasy, Supernatural",6.25
Long Zhi Gu: Jingling Wangzuo,Dragon Nest: Throne of Elves,1,"Aug 19, 2016","Action, Adventure, Fantasy",7.23
Danchigai: Juusan Goutou Sentou Ikitai!!,UNKNOWN,1,"Sep 18, 2015","Comedy, Slice of Life",6.42
Shigeru,UNKNOWN,1,"Jun 14, 2014","Avant Garde, Comedy",3.1
◯,UNKNOWN,1,2010,Avant Garde,3.75
Tama Gura Abayo: Moki Yumokyu Superdeluxe,UNKNOWN,1,"Apr 23, 2013",Avant Garde,4.08
Requiem (ONA),UNKNOWN,1,"Jan 17, 2012",Avant Garde,3.75
Good Morning!!! Doronjo,UNKNOWN,243,"Mar 30, 2015 to Mar 25, 2016",Comedy,5.59
One Punch Man: Road to Hero,UNKNOWN,1,"Dec 4, 2015","Action, Comedy",7.7
Fate/kaleid liner Prisma☆Illya 3rei!!,Fate/kaleid liner Prisma Illya 3rei!!,12,"Jul 6, 2016 to Sep 21, 2016","Action, Comedy, Fantasy",7.5
Divine Gate,Divine Gate,12,"Jan 8, 2016 to Mar 25, 2016","Action, Fantasy, Sci-Fi",5.54
Working!!! Lord of the Takanashi,UNKNOWN,1,"Mar 30, 2016","Comedy, Romance",8.15
Rewrite,Rewrite,13,"Jul 2, 2016 to Sep 24, 2016","Action, Comedy, Romance, Supernatural",6.65
Nanatsu no Taizai: Seisen no Shirushi,The Seven Deadly Sins: Signs of Holy War,4,"Aug 28, 2016 to Sep 18, 2016","Action, Adventure, Fantasy",6.98
Bishoujo Senshi Sailor Moon Crystal Season III,Pretty Guardian Sailor Moon Crystal Season III,13,"Apr 4, 2016 to Jun 27, 2016","Fantasy, Romance",7.75
Nanairo Kakumei,UNKNOWN,3,"Oct 6, 2015 to Oct 20, 2015",Comedy,5.74
Magi: Sinbad no Bouken (TV),Magi: Adventure of Sinbad,13,"Apr 16, 2016 to Jul 2, 2016","Action, Adventure, Fantasy",7.85
Oshiri Kajiri Mushi (TV) 4th Season,Bottom Biting Bug 4,10,"Oct 5, 2015 to Dec 7, 2015",Comedy,5.14
TV-ban Pokemon Special Masara Town-hen Recaps,UNKNOWN,3,"Sep 29, 2000","Action, Adventure, Comedy, Fantasy",6.05
Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!,Aoharu x Machinegun: This is a Battlefield for Beasts!,1,"Dec 25, 2015","Comedy, Sports",7.19
Owari no Seraph: The Beginning of the End,Seraph of the End: The Beginning of the End,1,"Oct 3, 2015","Action, Drama, Supernatural",7.24
Kizumonogatari II: Nekketsu-hen,Kizumonogatari Part 2: Hot-Blooded,1,"Aug 19, 2016","Action, Mystery, Supernatural",8.58
Kizumonogatari III: Reiketsu-hen,Kizumonogatari Part 3: Cold-Blooded,1,"Jan 6, 2017","Action, Mystery, Supernatural",8.79
Hakubutsushi,Natural History,1,1985,Avant Garde,4.81
Sayokyoku,Serenade,1,1985,"Avant Garde, Comedy",4.52
Accel World: Infinite∞Burst,UNKNOWN,1,"Jul 23, 2016","Action, Romance, Sci-Fi",6.62
Nejimaki Seirei Senki: Tenkyou no Alderamin,Alderamin on the Sky,13,"Jul 9, 2016 to Oct 1, 2016","Action, Adventure, Fantasy",7.65
Sword Art Online Movie: Ordinal Scale,Sword Art Online the Movie: Ordinal Scale,1,"Feb 18, 2017","Action, Adventure, Fantasy",7.56
Amanchu!,UNKNOWN,12,"Jul 8, 2016 to Sep 23, 2016","Comedy, Slice of Life",7.24
One Punch Man Specials,One Punch Man Specials,6,"Dec 24, 2015 to May 27, 2016","Action, Comedy",7.7
Neko nanka Yondemo Konai.,UNKNOWN,12,"Oct 3, 2015 to Dec 19, 2015",Slice of Life,5.87
Yowamushi Pedal: New Generation,UNKNOWN,25,"Jan 10, 2017 to Jun 27, 2017",Sports,7.65
Hakuouki: Shinkai - Kaze no Shou,UNKNOWN,1,"Sep 25, 2015","Action, Drama, Romance, Supernatural",6.37
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,Active Raid,12,"Jan 7, 2016 to Mar 24, 2016","Comedy, Sci-Fi",5.85
Mahou Shoujo Nante Mou Ii desu kara.,Mahou Shoujo Nante Mouiidesukara,12,"Jan 12, 2016 to Mar 29, 2016",Comedy,5.92
Kiznaiver,Kiznaiver,12,"Apr 9, 2016 to Jun 25, 2016","Drama, Romance, Sci-Fi",7.38
Kuma Miko,Kumamiko: Girl Meets Bear,12,"Apr 3, 2016 to Jun 19, 2016","Comedy, Slice of Life",6.31
Sugio: Mori de Koi wo Shite,UNKNOWN,3,"Sep 27, 2015",Comedy,5.36
Kuroshitsuji Movie: Book of the Atlantic,Black Butler: Book of the Atlantic,1,"Jan 21, 2017","Action, Comedy, Mystery, Supernatural",8.25
Arslan Senki (TV): Fuujin Ranbu,The Heroic Legend of Arslan: Dust Storm Dance,8,"Jul 3, 2016 to Aug 21, 2016","Action, Adventure, Drama, Fantasy",7.5
Comet Lucifer: Garden Indigo no Shasou kara,UNKNOWN,12,"Jan 29, 2016 to Jun 24, 2016","Adventure, Comedy, Fantasy",5.88
Sinbad: Mahou no Lamp to Ugoku Shima,Sinbad: The Magic Lamp and the Moving Islands,1,"Jan 16, 2016",Adventure,6.11
Ze Tian Ji,UNKNOWN,13,"Jul 15, 2015 to Dec 23, 2015","Action, Adventure, Fantasy",6.77
Ojisan to Marshmallow,Ojisan and Marshmallow,12,"Jan 8, 2016 to Mar 25, 2016","Comedy, Slice of Life",6.57
Biohazard: Vendetta,Resident Evil: Vendetta,1,"May 27, 2017","Action, Horror, Sci-Fi",6.97
Hai to Gensou no Grimgar,Grimgar: Ashes and Illusions,12,"Jan 11, 2016 to Mar 28, 2016","Action, Adventure, Drama, Fantasy",7.65
Tenchi Muyou! Ryououki 4th Season,UNKNOWN,4,"Nov 30, 2016 to Sep 13, 2017","Action, Comedy, Sci-Fi",6.51
Kare Baka: Wagahai no Kare wa Baka de R,UNKNOWN,8,"Oct 16, 2015 to Jan 22, 2016","Comedy, Romance",5.81
Last Exile: Ginyoku no Fam Movie - Over the Wishes,"Last Exile: Fam, the Silver Wing - Over the Wishes",1,"Feb 6, 2016","Action, Adventure, Sci-Fi",6.25
Bakuon!! OVA,UNKNOWN,2,"Mar 18, 2016 to Dec 20, 2016","Slice of Life, Sports",6.41
Mahoutsukai Precure!,Maho Girls Precure!,50,"Feb 7, 2016 to Jan 29, 2017","Action, Fantasy",7.26
Nurse Witch Komugi-chan R,UNKNOWN,12,"Jan 10, 2016 to Mar 27, 2016",Comedy,5.99
Robocar Poli,UNKNOWN,26,"Feb 28, 2011 to Jul 12, 2011",Comedy,5.37
Big Order (TV),UNKNOWN,10,"Apr 16, 2016 to Jun 18, 2016",Action,5.36
Wakaba*Girl: Onsen Tsukaritai,Wakaba Girl Special,1,"Oct 23, 2015","Comedy, Slice of Life",6.9
Pokemon Fushigi no Dungeon: Magnagate to Mugendai Meikyuu,Pokémon Mystery Dungeon: Gates to Infinity,2,"Nov 1, 2012","Adventure, Fantasy",6.23
Shinsetsu Kachikachi Yama,UNKNOWN,1,Nov 1936,"Action, Fantasy",4.91
Owaranai Seraph: Nagoya-hen,Seraph of the Endless: Battle in Nagoya,4,"Dec 25, 2015 to Mar 30, 2016",Comedy,7.33
PriPara Movie: Mi~nna no Akogare♪ Let's Go☆Prix Paris,UNKNOWN,1,"Mar 12, 2016",Slice of Life,7.16
Mini Hama: Minimum Hamatora Movies,UNKNOWN,2,"Nov 14, 2015","Comedy, Mystery",5.98
White Tree,White Tree,1,"Dec 10, 2014",Romance,5.53
Kashikokimono,UNKNOWN,1,2004,Avant Garde,5.39
Phantom of the Kill: Zero kara no Hangyaku,UNKNOWN,1,"Apr 7, 2016","Action, Adventure, Fantasy",6.12
Full Metal Panic! Invisible Victory,Full Metal Panic! Invisible Victory,12,"Apr 13, 2018 to Jul 18, 2018",Action,7.58
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,JoJo's Bizarre Adventure: Diamond is Unbreakable,39,"Apr 2, 2016 to Dec 24, 2016","Action, Adventure, Supernatural",8.5
Alice in Dreamland,UNKNOWN,1,"Dec 19, 2015","Adventure, Avant Garde, Fantasy",4.85
Shooting Hero,UNKNOWN,1,"Apr 4, 1986",Sports,5.12
Kono Bijutsu-bu ni wa Mondai ga Aru!,This Art Club Has a Problem!,12,"Jul 8, 2016 to Sep 23, 2016","Comedy, Romance",7.19
New Game!,New Game!,12,"Jul 4, 2016 to Sep 19, 2016",Comedy,7.57
Boku no Hero Academia,My Hero Academia,13,"Apr 3, 2016 to Jun 26, 2016",Action,7.89
Ba La La Xiao Mo Xian: Qiji Wubu,UNKNOWN,52,"Apr 19, 2013 to Apr 2014",Comedy,5.77
Sword Gai,UNKNOWN,1,"Oct 4, 2013","Action, Supernatural",5.59
Kidou Senshi Gundam Thunderbolt,Mobile Suit Gundam Thunderbolt,4,"Dec 25, 2015 to Apr 22, 2016","Action, Drama, Sci-Fi",7.94
Hanabi,UNKNOWN,1,"Oct 29, 2015","Drama, Romance, Slice of Life",5.91
Crayon Shin-chan Movie 24: Bakusui! Yumemi World Dai Totsugeki,Crayon Shin-chan: Fast Asleep! The Great Assault on the Dreaming World!,1,"Apr 16, 2016",Comedy,7.08
Lupin Shanshei Pilot,UNKNOWN,1,"Dec 19, 2012",Comedy,5.41
Hibike! Euphonium 2,Sound! Euphonium 2,13,"Oct 6, 2016 to Dec 29, 2016",Drama,8.3
Yami Shibai 3,Theatre of Darkness: Yamishibai 3,13,"Jan 11, 2016 to Apr 4, 2016","Avant Garde, Horror, Supernatural",6.33
Hetalia: The World Twinkle Extra Disc,UNKNOWN,1,"Feb 24, 2016",Comedy,7.28
Detective Conan Movie 20: The Darkest Nightmare,UNKNOWN,1,"Apr 16, 2016","Action, Mystery",8.17
Hakuouki: Otogisoushi,UNKNOWN,12,"Apr 5, 2016 to Jun 28, 2016",Fantasy,6.57
Oshiete! Galko-chan,Please tell me! Galko-chan,12,"Jan 8, 2016 to Mar 25, 2016","Comedy, Slice of Life",7.03
Ajin OVA,UNKNOWN,2,"May 6, 2016 to Oct 7, 2016","Action, Horror, Mystery, Supernatural",7.18
Bubuki Buranki,BBK/BRNK,12,"Jan 9, 2016 to Mar 26, 2016","Action, Drama, Sci-Fi",6.25
Osomatsu-san Special,Mr. Osomatsu Episode 3.5: Virgin Heroes,1,"Jan 29, 2016",Comedy,7.38
Seikaisuru Kado,KADO: The Right Answer,12,"Apr 7, 2017 to Jun 30, 2017",Sci-Fi,6.74
Soukyuu no Fafner: Dead Aggressor - Exodus Special,UNKNOWN,1,"Feb 4, 2015","Action, Drama, Sci-Fi",6.93
Show By Rock!! #,Show By Rock!! 2,12,"Oct 2, 2016 to Dec 18, 2016",Comedy,7.05
Show By Rock!! Short!!,Show By Rock!! Short!!,12,"Jul 5, 2016 to Sep 20, 2016",Comedy,6.46
Mori no Densetsu: Dai Ni Gakushou,UNKNOWN,1,"Aug 21, 2014",Fantasy,5.98
One Piece: Adventure of Nebulandia,One Piece: Adventure of Nebulandia,1,"Dec 19, 2015","Action, Adventure, Fantasy",7.25
Master of Torque 3,UNKNOWN,1,"Apr 27, 2016","Action, Sci-Fi",4.88
Kimi no Sumu Machi,UNKNOWN,1,"Nov 21, 2015",Comedy,5.97
Gantz:O,UNKNOWN,1,"Oct 14, 2016","Action, Drama, Horror, Sci-Fi",7.41
Luck & Logic,Luck & Logic,12,"Jan 9, 2016 to Mar 26, 2016","Action, Fantasy",6.06
"Watashitachi, Luck Logic-bu!",UNKNOWN,12,"Jan 9, 2016 to Mar 26, 2016",Comedy,5.4
Blame! Movie,Blame!: The Movie,1,"May 20, 2017","Action, Drama, Sci-Fi",7.03
Osomatsu-kun (1988): Appare! Chibita no Onitaiji zansu,UNKNOWN,1,"Dec 31, 1988",Comedy,5.97
Osomatsu-kun: Iyami wa Hitori Kaze no Naka,UNKNOWN,1,"Aug 25, 1990",Comedy,5.95
Juicy Jungle,UNKNOWN,1,"Sep 29, 2006",Sci-Fi,4.8
Tanaka-kun wa Itsumo Kedaruge,Tanaka-kun is Always Listless,12,"Apr 9, 2016 to Jun 25, 2016",Slice of Life,7.83
Reikenzan: Hoshikuzu-tachi no Utage,UNKNOWN,12,"Jan 9, 2016 to Mar 26, 2016","Comedy, Fantasy",7.05
Sousei no Onmyouji,Twin Star Exorcists,50,"Apr 6, 2016 to Mar 29, 2017","Action, Fantasy, Romance",7.3
Digimon Adventure tri. 2: Ketsui,Digimon Adventure tri. Determination,1,"Mar 12, 2016","Action, Adventure, Comedy, Drama",7.45
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,UNKNOWN,1,"Nov 3, 2015","Action, Comedy",8.11
DušaN,UNKNOWN,1,"Apr 25, 2015",Avant Garde,5.84
Takemoto Denki x Peeping Life,UNKNOWN,1,"Nov 16, 2014","Comedy, Slice of Life",5.05
PS3® no Tsukai Kata: feat.Peeping Life,UNKNOWN,6,"Sep 26, 2010","Comedy, Slice of Life",5.48
Ai to Shi,UNKNOWN,1,"Mar 30, 2013",Action,5.34
Senki Zesshou Symphogear GX: Senki Zesshou Shinai Symphogear,UNKNOWN,4,"Nov 25, 2015 to Feb 24, 2016","Comedy, Sci-Fi, Slice of Life",6.94
Closers: Side Blacklambs,Closers: Side Blacklambs,6,"Dec 23, 2016 to Jan 11, 2019",Fantasy,6.18
Mahou Shoujo Madoka★Magica: Concept Movie,Puella Magi Madoka Magica Concept Movie,1,"Nov 27, 2015","Drama, Suspense",7.13
Kidou Senshi Gundam-san (Movie),Mobile Suit Gundam-san,10,"Dec 5, 2015 to Nov 3, 2016",Comedy,5.6
Precure All Stars Movie: Minna de Utau♪ - Kiseki no Mahou,UNKNOWN,1,"Mar 19, 2016","Action, Comedy, Fantasy",7.02
Ange Vierge,UNKNOWN,12,"Jul 10, 2016 to Sep 25, 2016","Adventure, Fantasy",5.99
"The iDOLM@STER Cinderella Girls: Anytime, Anywhere with Cinderella.","THE IDOLM@STER CINDERELLA GIRLS: Anytime, Anywhere with Cinderella.",1,"Feb 25, 2016","Comedy, Drama",7.27
Shounen Maid,Shonen Maid,12,"Apr 8, 2016 to Jul 1, 2016",Slice of Life,7.28
Mob Psycho 100,Mob Psycho 100,12,"Jul 11, 2016 to Sep 27, 2016","Action, Comedy, Supernatural",8.49
