Name,English name,Episodes,Aired,Genres,Score
Boukyaku no Senritsu,The Melody of Oblivion,24,"Apr 7, 2004 to Sep 22, 2004","Adventure, Fantasy, Horror, Sci-Fi, Supernatural",6.28
"Ima, Soko ni Iru Boku","Now and Then, Here and There",13,"Oct 14, 1999 to Jan 20, 2000","Adventure, Drama, Fantasy, Sci-Fi",7.61
Peace Maker Kurogane,Peace Maker Kurogane,24,"Oct 8, 2003 to Mar 24, 2004","Action, Comedy",7.3
Pita Ten,Pita-Ten,26,"Apr 7, 2002 to Sep 29, 2002","Comedy, Fantasy, Romance",6.93
Power Stone,UNKNOWN,26,"Apr 3, 1999 to Sep 25, 1999","Adventure, Comedy, Fantasy",6.55
Mononoke Hime,Princess Mononoke,1,"Jul 12, 1997","Action, Adventure, Award-Winning, Fantasy",8.67
RahXephon,RahXephon,26,"Jan 21, 2002 to Sep 11, 2002","Action, Award-Winning, Drama, Mystery, Romance, Sci-Fi",7.39
Samurai 7,Samurai 7,26,"Jun 12, 2004 to Dec 25, 2004",Sci-Fi,7.44
Scrapped Princess,Scrapped Princess,24,"Apr 8, 2003 to Oct 7, 2003","Adventure, Comedy, Drama, Fantasy, Sci-Fi",7.38
s.CRY.ed,s-CRY-ed,26,"Jul 4, 2001 to Dec 26, 2001","Action, Adventure, Drama, Sci-Fi",7.36
Shingetsutan Tsukihime,Lunar Legend Tsukihime,12,"Oct 10, 2003 to Dec 26, 2003","Action, Horror, Mystery, Romance, Supernatural",6.82
Slam Dunk,Slam Dunk,101,"Oct 16, 1993 to Mar 23, 1996",Sports,8.54
Strange Dawn,UNKNOWN,13,"Jul 11, 2000 to Sep 26, 2000","Adventure, Drama, Fantasy",6.32
Tactics,UNKNOWN,25,"Oct 6, 2004 to Mar 30, 2005","Mystery, Supernatural",7.2
Tokyo Underground,Tokyo Underground,26,"Apr 2, 2002 to Sep 24, 2002","Action, Adventure, Romance, Sci-Fi",6.59
Triangle Heart: Sweet Songs Forever,UNKNOWN,4,"Jul 24, 2003 to Dec 26, 2003","Adventure, Romance",6.09
Tsubasa Chronicle,Tsubasa RESERVoir CHRoNiCLE,26,"Apr 9, 2005 to Oct 15, 2005","Action, Adventure, Fantasy, Romance",7.52
Ultra Maniac,Ultra Maniac,26,"May 20, 2003 to Nov 11, 2003","Comedy, Romance",7.16
Ultra Maniac OVA,UNKNOWN,1,"Aug 6, 2002","Comedy, Romance",6.62
Tenkuu no Escaflowne,The Vision of Escaflowne,26,"Apr 2, 1996 to Sep 24, 1996","Adventure, Fantasy, Romance",7.67
Whistle!,UNKNOWN,39,"May 6, 2002 to Feb 3, 2003",Sports,7.39
Xenosaga The Animation,UNKNOWN,12,"Jan 6, 2005 to Mar 24, 2005","Action, Sci-Fi",6.32
Initial D First Stage,Initial D First Stage,26,"Apr 19, 1998 to Dec 6, 1998","Action, Drama",8.33
Initial D Second Stage,Initial D Second Stage,13,"Oct 15, 1999 to Jan 21, 2000","Action, Drama",8.16
Initial D Third Stage,UNKNOWN,1,"Jan 13, 2001","Action, Drama, Romance",7.9
Love Hina Christmas Special: Silent Eve,Love Hina Christmas Movie,1,"Dec 25, 2000","Comedy, Romance",7.31
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,Love Hina Spring Movie,1,"Apr 2, 2001","Adventure, Comedy, Romance",7.18
Macross Zero,Macross Zero,5,"Dec 21, 2002 to Oct 20, 2004","Action, Adventure, Sci-Fi",7.51
Onegai☆Teacher,Please Teacher!,12,"Jan 10, 2002 to Mar 28, 2002","Drama, Romance, Sci-Fi",7.11
Onegai☆Twins,Please Twins!,12,"Jul 15, 2003 to Oct 14, 2003","Comedy, Drama, Sci-Fi",6.82
Speed Grapher,Speed Grapher,24,"Apr 8, 2005 to Sep 30, 2005","Action, Mystery",7.31
