Player,Position,Team,Age,Club,Games,Shots,Goals,Touches,Passes
Mitchell Duke,FW,Australia,31-334,Fagi Okayama,4,7,1,96.0,63.0
Mohamed Ali Ben Romdhane,MF,Tunisia,23-103,Espérance de Tunis,1,0,0,31.0,21.0
Mohamed Dräger,DF,Tunisia,26-176,Luzern,2,4,0,70.0,50.0
Mohamed Kanno,MF,Saudi Arabia,28-087,Al-Hilal,3,6,0,184.0,147.0
Mohammed Al-Breik,DF,Saudi Arabia,30-094,Al-Hilal,2,2,0,57.0,48.0
Mohammed Al-Owais,GK,Saudi Arabia,31-069,Al-Hilal,3,0,0,113.0,100.0
Mohammed Muntari,FW,Qatar,28-363,Al Duhail SC,3,3,1,28.0,19.0
Mohammed Salisu,DF,Ghana,23-245,Southampton,3,2,1,184.0,151.0
Mohammed Waad,MF,Qatar,23-091,Al Sadd SC,2,0,0,16.0,12.0
Moisés Caicedo,MF,Ecuador,21-046,Brighton,3,3,1,173.0,153.0
Montassar Talbi,DF,Tunisia,24-206,Lorient,3,1,0,177.0,137.0
Morteza Pouraliganji,DF,IR Iran,30-243,Persepolis,3,2,0,156.0,128.0
Moumi Ngamaleu,FW,Cameroon,28-162,Dynamo Mosc,2,0,0,34.0,25.0
Munir,GK,Morocco,33-222,Al-Wehda,1,0,0,31.0,28.0
Musab Kheder,DF,Qatar,29-083,Al Sadd SC,1,0,0,5.0,3.0
Na Sang-ho,FW,Korea Republic,26-128,FC Seoul,2,1,0,60.0,37.0
Nader Ghandri,DF,Tunisia,27-303,Club Africain,1,0,0,45.0,33.0
Nahuel Molina,DF,Argentina,24-256,Atlético Madrid,7,2,1,398.0,358.0
Nampalys Mendy,MF,Senegal,30-178,Leicester City,4,2,0,182.0,159.0
Nasser Al-Dawsari,FW,Saudi Arabia,23-364,Al-Hilal,1,0,0,13.0,11.0
Nathan Aké,DF,Netherlands,27-303,Manchester City,5,0,0,393.0,349.0
Nathaniel Atkinson,DF,Australia,23-188,Hearts,1,0,0,43.0,34.0
Nawaf Al Abed,MF,Saudi Arabia,32-326,Al-Shabab,2,2,0,51.0,39.0
Nayef Aguerd,DF,Morocco,26-263,West Ham,4,1,0,185.0,158.0
Naïm Sliti,MF,Tunisia,30-144,Al-Ettifaq,2,1,0,67.0,51.0
Neco Williams,DF,Wales,21-249,Nott'ham Forest,3,3,0,138.0,101.0
Nemanja Gudelj,MF,Serbia,31-032,Sevilla,2,0,0,59.0,52.0
Nemanja Maksimović,MF,Serbia,27-326,Getafe,3,0,0,75.0,57.0
Nemanja Radonjić,DF,Serbia,26-306,Torino,3,2,0,36.0,24.0
Neymar,MF,Brazil,30-316,Paris S-G,3,11,2,203.0,153.0
Niclas Füllkrug,FW,Germany,29-312,Werder Bremen,3,8,2,38.0,24.0
Nico Elvedi,DF,Switzerland,26-079,M'Gladbach,2,1,0,165.0,142.0
Nico Schlotterbeck,DF,Germany,23-017,Dortmund,2,0,0,135.0,123.0
Nico Williams,FW,Spain,20-159,Athletic Club,4,1,0,88.0,63.0
Nicola Zalewski,MF,Poland,20-329,Roma,2,0,0,29.0,17.0
Nicolas Jackson,FW,Senegal,21-181,Villarreal,1,0,0,11.0,10.0
Nicolas Nkoulou,DF,Cameroon,32-266,Aris,2,3,0,115.0,91.0
Nicolás De La Cruz,MF,Uruguay,25-200,River Plate,2,1,0,28.0,25.0
Nicolás Otamendi,DF,Argentina,34-309,Benfica,7,1,0,639.0,577.0
Nicolás Tagliafico,DF,Argentina,30-109,Lyon,6,3,0,220.0,178.0
Niklas Süle,DF,Germany,27-106,Dortmund,3,1,0,268.0,255.0
Nikola Milenković,DF,Serbia,25-067,Fiorentina,3,3,0,198.0,163.0
Nikola Vlašić,FW,Croatia,25-075,Torino,6,5,0,80.0,55.0
Noa Lang,MF,Netherlands,23-184,Club Brugge,1,0,0,5.0,3.0
Noah Okafor,FW,Switzerland,22-208,RB Salzburg,3,1,0,29.0,22.0
Nouhou Tolo,DF,Cameroon,25-178,Seattle,3,0,0,145.0,109.0
Noussair Mazraoui,DF,Morocco,25-034,Bayern Munich,5,4,0,175.0,121.0
Nuno Mendes,DF,Portugal,20-182,Paris S-G,1,0,0,36.0,32.0
Néstor Araujo,DF,Mexico,31-111,América,1,0,0,62.0,53.0
Olivier Giroud,FW,France,36-079,Milan,6,16,4,111.0,74.0
Olivier Ntcham,MF,Cameroon,26-312,Swansea City,1,1,0,14.0,12.0
Orbelín Pineda,MF,Mexico,26-269,AEK Athens,1,4,0,46.0,25.0
Osman Bukari,MF,Ghana,24-005,Red Star,2,3,1,29.0,20.0
Otávio,MF,Portugal,27-312,Porto,3,3,0,145.0,127.0
Ousmane Dembélé,FW,France,25-217,Barcelona,7,8,0,241.0,191.0
Pablo Sarabia,FW,Spain,30-221,Paris S-G,1,1,0,6.0,5.0
Paik Seung-ho,MF,Korea Republic,25-276,Jeonbuk,1,1,1,30.0,27.0
Pape Abou Cissé,DF,Senegal,27-095,Olympiacos,3,0,0,49.0,37.0
Pape Gueye,MF,Senegal,23-328,Marseille,3,4,0,81.0,62.0
Pape Matar Sarr,MF,Senegal,20-095,Tottenham,2,4,0,54.0,43.0
Papu Gómez,MF,Argentina,34-306,Sevilla,2,2,0,69.0,60.0
Pathé Ciss,MF,Senegal,28-277,Rayo Vallecano,3,1,0,74.0,57.0
Pau Torres,DF,Spain,25-336,Villarreal,1,0,0,194.0,191.0
Paulo Dybala,FW,Argentina,29-033,Roma,2,0,0,20.0,12.0
Pedri,MF,Spain,20-023,Barcelona,4,0,0,462.0,434.0
Pedro,FW,Brazil,25-181,Flamengo,2,4,0,25.0,13.0
Pepe,DF,Portugal,39-295,Porto,4,3,1,330.0,295.0
Pervis Estupiñán,DF,Ecuador,24-331,Brighton,3,1,0,217.0,190.0
Phil Foden,FW,England,22-204,Manchester City,4,6,1,143.0,117.0
Piero Hincapié,DF,Ecuador,20-343,Leverkusen,3,0,0,227.0,200.0
Pierre Højbjerg,MF,Denmark,27-135,Tottenham,3,2,0,249.0,224.0
Pierre Kunde,MF,Cameroon,27-145,Olympiacos,2,5,0,70.0,49.0
Piotr Zieliński,MF,Poland,28-212,Napoli,4,3,1,178.0,153.0
Przemysław Frankowski,MF,Poland,27-250,Lens,4,1,0,97.0,74.0
Rafael Leão,FW,Portugal,23-191,Milan,5,5,2,63.0,47.0
Raheem Sterling,FW,England,28-010,Chelsea,3,1,1,68.0,55.0
Ramin Rezaeian,DF,IR Iran,32-272,Sepahan,2,2,1,130.0,105.0
Randal Kolo Muani,FW,France,24-013,Eint Frankfurt,3,4,1,76.0,44.0
Raphaël Guerreiro,DF,Portugal,28-361,Dortmund,4,3,1,207.0,185.0
Raphaël Varane,DF,France,29-237,Manchester Utd,6,3,0,322.0,286.0
Raphinha,FW,Brazil,26-004,Barcelona,5,8,0,189.0,150.0
Rasmus Nissen,DF,Denmark,25-160,Leeds United,3,0,0,204.0,179.0
Raúl Jiménez,FW,Mexico,31-227,Wolves,3,0,0,37.0,32.0
Remo Freuler,MF,Switzerland,30-247,Nott'ham Forest,4,3,1,197.0,154.0
Renato Steffen,FW,Switzerland,31-045,Lugano,1,0,0,19.0,15.0
Ricardo Horta,FW,Portugal,28-094,Braga,3,3,1,55.0,46.0
Ricardo Rodríguez,DF,Switzerland,30-115,Torino,4,0,0,247.0,229.0
Richarlison,FW,Brazil,25-222,Tottenham,4,8,3,97.0,58.0
Richie Laryea,DF,Canada,27-345,Toronto FC,3,2,0,73.0,47.0
Riley McGree,FW,Australia,24-046,Middlesbrough,4,3,0,107.0,75.0
Ritsu Doan,FW,Japan,24-185,Freiburg,4,4,2,95.0,56.0
Riyadh Sharahili,MF,Saudi Arabia,29-234,Abha,1,0,0,28.0,17.0
Roan Wilson,MF,Costa Rica,20-231,Municipal Grecia,1,0,0,8.0,4.0
Robert Lewandowski,FW,Poland,34-119,Barcelona,4,10,2,153.0,91.0
Robert Skov,DF,Denmark,26-212,Hoffenheim,1,0,0,24.0,21.0
Roberto Alvarado,FW,Mexico,24-102,Guadalajara,1,0,0,12.0,10.0
Rodri,DF,Spain,26-179,Manchester City,4,1,0,710.0,689.0
