date,city,state,shape,comments
2025-01-31,San Diego,CA,Cigar,A white pillar / Cigar shaped object moving in the sky at a steady pace in a floating motion
2025-01-29,San Diego,CA,Light,Circle of white light moving diagonally downward in the sky for a few seconds then completely disappearing.
2025-01-28,Circle Oaks,CA,Other,Faster than a propeller slower than a jet no sound
2025-01-27,Malibu,CA,Circle,Bright light in sky visible from ucla. Not a planet or star. 45 degrees above horizon and southwest. Brightest light in sky.
2025-01-26,Oakland,CA,Disk,I dont think i was dreaming but i saw two saucers fly towards me from the sky with lights and then an alien appear in my apartment
2025-01-26,Beverly Hills,CA,Orb,Orb with no lights or sound
2025-01-25,San Diego,CA,Sphere,"Sphere with green light, and very bright white light"
2025-01-25,Carlsbad,CA,Cylinder,Very slow hovering object moving in north direction with red light visible on left side
2025-01-24,Rancho Mirage,CA,Triangle,I noticed a huge triangle object in the sky being followed by 3 small objects. One of the smaller objects explodes in a ball of flames
2025-01-24,Laguna Beach,CA,Orb,It was a glowing orb that had rays of light coming from it. It could have been a host of things but just in case I wanted to report.
2025-01-24,Palo Alto,CA,Fireball,Something bright appeared and flew off and disappeared. Leaving a trail that glowed until the sun rose
2025-01-24,Oceano,CA,Teardrop,Maybe a asteroid or meteor?
2025-01-24,Orangevale,CA,Teardrop,A ship was exuding a force field in the shape of a tadpole/tear drop
2025-01-24,Winchester,CA,Sphere,Mini blimp flying upward with a long train of laser fire
2025-01-22,Menifee,CA,Diamond,Diamond shaped object hovering above houses for about 45 secs and promptly flew north at a fast pace when I pulled over to take a photo
2025-01-22,Needles,CA,Chevron,"Saw about 6 bright lights in the sky above a house hovering , once I turned on the street the object slowly flew away"
2025-01-21,Anaheim,CA,Changing,"orange glowing orb shoot up from the ground and then turned into a ring of orbs, approximately 6 to 8"
2025-01-16,Lakeside,CA,Orb,Weird drone with flashing blue and red lights.
2025-01-14,Stockton,CA,Circle,"21 objects going west to east, with two more from southwest heading towards the formation. All below cloud layer"
2025-01-14,Stockton,CA,Circle,"in the sky from my backyard, taking the dog out, objects going from west to east ina single file straight line."
2025-01-13,Rocklin,CA,Cylinder,"Was outside doing a chore, l happened to look up and saw the object heading east."
2025-01-12,El Cajon,CA,Oval,UFO stopping & going in nite sky
2025-01-12,San Diego,CA,Orb,A ring or orb with a flashing light that made sudden movements but seemed to stay put soon after he started recording.
2025-01-11,San Ramon,CA,Circle,Bright Silver Metallic Sphere stationary in the day time sky before suddenly disappearing
2025-01-10,Lomita,CA,Orb,"Craft flying from side-to-side and in circles, similar to a video game, uncharacteristic flying type movements"
2025-01-10,Lomita,CA,Diamond,"Craft flying from side-to-side and in circles, similar to a video game, uncharacteristic flying type movements"
2025-01-10,Moss Beach,CA,Light,Three star-like lights lined up about an inch or two apart and then did a half circle or so and then started to head South
2025-01-09,Sacramento,CA,Orb,Objects seemed to give off a glow and looked like a floating ball of fire
2025-01-08,Loma Linda,CA,Orb,Both of us saw a round white object like a full moon except dim and about half that size at 30 degrees at 10 p.m. while night-hiking
2025-01-08,San Diego,CA,Circle,"Fox News ran a Time Lapse of the Fire, 5 times you can see a UAP suddenly appear then shoot of quickly fading away as they go."
2025-01-07,Los Angeles,CA,Orb,"Watched for minutes as stationary white orb floated in sky, then became smaller and red, then disappeared ."
